City_ID,City,Country,date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Kumo,NG,2021-1205 20:45:11,10.0447,11.2122,79.81,26,70,6.87
173,Baykit,RU,2021-1205 20:45:11,61.67,96.37,-5.33,96,100,2.77
174,Xinzhi,CN,2021-1205 20:45:11,36.4989,111.7047,40.57,31,6,5.79
175,Raudeberg,NO,2021-1205 20:45:12,61.9875,5.1352,34.86,76,100,8.01
176,Jadu,LY,2021-1205 20:45:12,31.953,12.0261,47.25,35,0,14.29
177,Wairoa,NZ,2021-1205 20:45:12,-39.0333,177.3667,75.54,61,97,1.99
178,Angoram,PG,2021-1205 20:45:13,-4.0625,144.0661,75.76,99,100,1.66
179,Ixtapa,MX,2021-1205 20:45:13,20.7,-105.2,83.23,70,97,4.0
180,Borogontsy,RU,2021-1205 20:45:13,62.6683,131.1683,-12.96,96,100,6.6
181,Cidreira,BR,2021-1205 20:45:14,-30.1811,-50.2056,70.74,86,40,15.05
182,Ekhabi,RU,2021-1205 20:46:14,53.5102,142.9671,7.23,94,86,6.24
183,Halifax,CA,2021-1205 20:44:43,44.6453,-63.5724,32.68,71,63,3.0
184,Bambous Virieux,MU,2021-1205 20:46:14,-20.3428,57.7575,79.05,73,40,11.5
185,Hofn,IS,2021-1205 20:46:15,64.2539,-15.2082,42.01,83,100,31.23
186,Khatanga,RU,2021-1205 20:46:15,71.9667,102.5,-16.62,96,100,9.55
187,Oktyabrskiy,RU,2021-1205 20:46:16,54.4815,53.471,25.66,92,100,4.05
188,Bukachacha,RU,2021-1205 20:46:16,52.9833,116.9167,2.77,94,4,2.57
189,Bondo,CD,2021-1205 20:46:16,3.8146,23.6866,72.03,89,100,3.11
190,Atar,MR,2021-1205 20:46:17,20.5169,-13.0499,71.87,15,100,11.12
191,Touros,BR,2021-1205 20:43:07,-5.1989,-35.4608,85.1,78,84,15.43
192,Carhuamayo,PE,2021-1205 20:46:17,-10.9167,-76.0333,37.24,94,100,3.62
193,Ulkan,RU,2021-1205 20:46:17,57.243,107.3223,20.95,94,100,8.12
194,Martil,MA,2021-1205 20:46:18,35.6166,-5.2752,59.07,67,20,13.8
195,Lithgow,AU,2021-1205 20:46:18,-33.4833,150.15,52.09,83,97,8.25
196,Salalah,OM,2021-1205 20:46:18,17.0151,54.0924,75.29,33,0,6.91
197,Huilong,CN,2021-1205 20:46:19,31.8111,121.655,54.03,79,0,6.6
198,Kilakarai,IN,2021-1205 20:46:19,9.2333,78.7833,80.87,75,6,4.7
199,Rocha,UY,2021-1205 20:45:26,-34.4833,-54.3333,64.56,93,91,8.16
200,Kahului,US,2021-1205 20:46:19,20.8947,-156.47,76.96,81,90,4.61
201,Tambovka,RU,2021-1205 20:46:20,50.0969,128.0489,3.31,100,37,3.09
202,Naze,JP,2021-1205 20:46:20,28.3667,129.4833,63.28,69,70,17.29
203,Port Augusta,AU,2021-1205 20:46:20,-32.5,137.7667,62.74,61,89,3.04
204,Sonoita,MX,2021-1205 20:46:21,31.85,-112.8333,76.53,13,0,7.65
205,Lagoa,PT,2021-1205 20:46:21,39.05,-27.9833,63.21,75,73,11.59
206,Rudnogorsk,RU,2021-1205 20:46:21,57.2639,103.7519,20.64,96,100,5.84
207,Kruisfontein,ZA,2021-1205 20:46:22,-34.0033,24.7314,63.88,87,98,7.96
208,Pudozh,RU,2021-1205 20:46:22,61.8099,36.5345,8.74,94,70,5.84
209,Bengkulu,ID,2021-1205 20:46:22,-3.8004,102.2655,74.88,90,95,7.47
210,Comodoro Rivadavia,AR,2021-1205 20:46:22,-45.8667,-67.5,73.26,33,20,21.85
211,Kerema,PG,2021-1205 20:46:23,-7.9631,145.7785,78.1,82,85,3.76
212,Port Lincoln,AU,2021-1205 20:46:23,-34.7333,135.8667,59.02,76,1,2.64
213,Cayenne,GF,2021-1205 20:46:23,4.9333,-52.3333,82.44,86,75,5.01
214,Acarau,BR,2021-1205 20:44:58,-2.8856,-40.12,81.64,79,11,19.1
215,Chicama,PE,2021-1205 20:46:24,-7.8447,-79.1469,66.74,66,100,9.44
216,Chokurdakh,RU,2021-1205 20:46:24,70.6333,147.9167,-41.84,100,60,5.95
217,Bogen,DE,2021-1205 20:46:24,48.9112,12.6896,35.82,97,100,1.9
218,Pocone,BR,2021-1205 20:46:25,-16.2567,-56.6228,83.97,77,97,3.78
219,Biograd Na Moru,HR,2021-1205 20:46:25,43.9433,15.4519,45.75,74,100,2.91
220,Mgandu,TZ,2021-1205 20:46:25,-5.95,34.1333,66.22,64,100,7.78
221,Berlevag,NO,2021-1205 20:46:26,70.8578,29.0864,23.0,68,0,25.32
222,Tiksi,RU,2021-1205 20:46:26,71.6872,128.8694,-14.46,91,100,6.58
223,Belaya Gora,RU,2021-1205 20:46:26,68.5333,146.4167,-32.4,95,100,1.1
224,North Platte,US,2021-1205 20:46:27,41.1239,-100.7654,42.69,53,1,14.0
225,Bibai,JP,2021-1205 20:46:27,43.3247,141.8586,25.54,84,10,2.77
