City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Jaicos,BR,81.88,overcast clouds,-7.3592,-41.1378,Hotel Jaicós
549,Port Blair,IN,81.23,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
556,Sao Miguel Do Araguaia,BR,74.32,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
558,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
564,Dwarka,IN,74.61,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
566,Carupano,VE,76.64,scattered clouds,10.6678,-63.2585,Hotel La dorada
572,Bom Jesus,BR,77.05,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
573,Paso De Patria,AR,75.18,clear sky,-27.2454,-58.5454,"Posada Pasito's III, Paso de Patria Ñeembucú"
574,Morondava,MG,78.67,clear sky,-20.2833,44.2833,La Case Bambou
575,Port-Gentil,GA,77.32,overcast clouds,-0.7193,8.7815,Fengshui Residence
577,Sao Joao Dos Patos,BR,74.68,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
578,Rondonopolis,BR,76.93,broken clouds,-16.4708,-54.6356,Serras Hotel
579,Meulaboh,ID,83.55,few clouds,4.1363,96.1285,Kost Pria
580,Lagos,NG,80.92,scattered clouds,6.5833,3.75,
582,Mozarlandia,BR,74.34,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
585,Alta Floresta,BR,72.45,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
590,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
593,Filingue,NE,71.64,clear sky,14.3521,3.3168,
594,Toamasina,MG,73.4,broken clouds,-18.1667,49.3833,Hotel H1
596,Neyyattinkara,IN,80.46,scattered clouds,8.4,77.0833,P.W.D. Rest House
597,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
603,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
604,Sorong,ID,84.94,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
608,Kipini,KE,80.89,light rain,-2.5257,40.5262,Delta Sea Mall
614,Kokopo,PG,82.89,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
615,Tabou,CI,78.76,light rain,4.423,-7.3528,hotêl doufoulougou
618,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
619,Flinders,AU,83.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
621,Eirunepe,BR,71.51,overcast clouds,-6.6603,-69.8736,Atrás de você
623,Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
626,Kikwit,CD,71.96,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
628,Wattegama,LK,76.12,few clouds,6.7989,81.4808,
631,Villanueva,HN,76.19,few clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
633,Kavaratti,IN,80.28,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
639,Sabang,ID,82.81,scattered clouds,5.8933,95.3214,Hotel Citra
641,Puerto Madero,MX,80.01,few clouds,14.7208,-92.4215,Hospedaje madero
